"Year","TOTAL","OW","DW","DC","TF","OH","MH","PH","CHESTER","CHOPTANK","ELIZABETH","JAMES","MAIN","NANTICOKE","PATUXENT","POCOMOKE","POTOMAC","RAPPAHANNOCK","TANGIER","UPPER.TRIB","YORK"
1985,-7.514090115,-4.253671572,-5.389094397,-19.49102499,-10.26281861,-7.390971637,-9.343638365,-1.994511862,-3.292008676,-0.534886106,-24.05228569,-0.845907062,-5.627384868,-1.128491304,-10.70866266,-4.230827271,-16.3336329,-7.412726612,-8.320240571,-9.598183694,-9.3902879
1986,-8.724896519,-4.576915106,-6.037728602,-23.93657537,-10.30478568,-7.385644717,-10.95685207,-2.363488964,-4.445004881,-0.129060824,-24.05228569,-0.874467277,-7.198902413,-0.55052513,-14.0688206,-3.385816881,-16.72291836,-9.210877367,-8.885918327,-10.39394539,-10.35462223
1987,-8.743553282,-5.2231428,-5.956667981,-22.45069015,-10.16293931,-7.622212521,-10.40141776,-4.016901369,-5.980943105,-1.080095986,-24.05228569,-1.173251558,-7.886657775,-4.685787805,-15.42541016,-4.665702051,-15.40643524,-6.091934265,-9.10558817,-8.631961547,-11.44076816
1988,-8.244939506,-5.021244433,-5.715505401,-20.76126763,-11.18801799,-7.174965484,-9.934997185,-3.272424186,-9.952659797,-1.594041067,-29.90447817,-1.292613432,-7.181899669,-4.58952,-8.591202976,-5.312613788,-15.64188102,-3.294830973,-9.479715913,-8.585308845,-10.34114731
1989,-8.927015737,-5.256524028,-6.524114206,-22.42707332,-11.50749514,-7.214098893,-10.73294307,-3.7649103,-17.91349853,-3.254081693,-38.07814679,-1.88103259,-7.148775142,-4.58952,-6.586398029,-5.963018214,-16.30978136,-9.448441488,-9.432206424,-10.79746744,-11.99935059
1990,-7.852681176,-4.249701858,-6.210043518,-19.97728062,-11.6550538,-7.287067297,-9.623084429,-2.480257403,-15.7166825,-0.957636652,-31.75069533,-2.081535989,-6.214711366,0,-3.526953024,-5.963018214,-15.21575412,-7.677766095,-8.361257122,-9.951502818,-8.524787803
1991,-9.387479049,-4.082980683,-7.995044799,-25.62304009,-9.826233297,-6.630175153,-11.93154272,-2.476981924,-24.05741199,-1.323205302,-33.19680933,-1.350452373,-7.749985922,0,-3.562871655,-4.665702051,-16.99692834,-10.50191324,-8.292411035,-12.31877348,-7.394669903
1992,-8.896391281,-4.222427253,-6.603257352,-24.88037668,-9.682347201,-6.527660361,-11.15759238,-2.702687575,-14.24697979,-0.561562466,-24.12621105,-0.963539901,-7.820886489,0,-4.83255745,-4.891653533,-16.95718967,-6.920524022,-8.795642625,-8.996498281,-7.32728156
1993,-9.284314876,-4.121546807,-7.173996408,-26.27465121,-9.373984378,-5.811807856,-11.85156013,-2.462908706,-20.58699607,-1.720841667,-20.96553469,0,-7.963209795,0,-5.416474878,-3.6024742,-17.57448881,-8.167839793,-9.002738001,-9.689280118,-9.407605498
1994,-8.524465969,-4.45203643,-5.817488762,-23.56730132,-9.784744874,-6.095176664,-10.547568,-2.983560508,-7.08671218,-0.897615321,-25.43389048,0,-7.559134628,-0.316781887,-3.855768242,-4.891653533,-16.31377585,-7.293724587,-9.090607391,-7.876171631,-11.43957139
1995,-7.528118672,-3.721481213,-5.028988695,-21.54009607,-9.790129516,-5.923996059,-9.512902772,-1.86117594,-7.405777603,-0.532281176,-19.78622825,0,-6.477120114,-0.316781887,-3.896510965,-4.665702051,-14.56027566,-7.016625843,-8.787858667,-7.545977646,-7.887022735
1996,-9.121587158,-3.789838224,-6.047226336,-28.07678533,-9.334099722,-5.66848223,-11.84537842,-1.833374366,-2.688463135,-0.975835694,-9.839444891,0,-8.084041064,-0.316781887,-3.284978957,-5.312613788,-17.38676852,-8.764208057,-9.604819747,-10.20451524,-12.6008413
1997,-8.348592708,-3.157873938,-5.922052098,-25.91068868,-9.122168729,-5.767295346,-11.11156531,-0.74430737,-4.617662058,-1.044906696,-10.7835725,0,-6.845362977,-1.392545321,-4.137554075,-4.023072059,-18.44009357,-4.93115026,-9.385335403,-11.07216844,-7.515523809
1998,-9.092641802,-3.332211934,-6.608381136,-28.25391429,-9.152846684,-6.14121947,-12.11086959,-0.882707977,-12.77589975,-2.256028023,-11.37689245,0,-7.248260438,-1.392545321,-7.283063308,-5.312613788,-20.21917841,-5.492395711,-9.042280474,-12.13159858,-6.859574364
1999,-7.840546642,-3.125834744,-6.251195523,-22.82460072,-9.540870787,-6.777990046,-10.41431731,-0.433558384,-15.73362555,-2.850930909,-9.854712156,0,-5.886542724,-3.341381172,-12.32141647,-5.963018214,-18.67877983,-2.539042038,-8.231136637,-10.11412026,-3.257073436
2000,-7.445787943,-3.196894618,-6.086059144,-20.83513455,-10.04213815,-6.775463514,-9.799565331,-0.521591985,-12.97659188,-3.563020998,-11.05712558,0,-5.666387872,-4.6057195,-8.61571835,-6.616326952,-17.0875244,-2.967282287,-8.11814513,-9.307622938,-6.607693774
2001,-8.375718195,-3.596878921,-6.605485949,-23.81427243,-10.78575239,-7.302577579,-10.98383018,-0.804304451,-8.774210129,-5.766738566,-15.79885639,-0.092305617,-6.851462975,-9.214930191,-9.525258494,-5.904392217,-17.49233938,-4.101909252,-8.261281814,-9.536974444,-13.33886951
2002,-6.947172186,-2.101382131,-3.791299738,-24.74409147,-2.820404365,-4.81090382,-9.455877282,-0.463740468,-10.52439011,-4.146220064,-19.67800002,-1.227692288,-6.567226136,-7.573977386,-8.543186586,-4.943557344,-8.965391118,-4.46564329,-8.452286288,-8.028874134,-13.7611707
2003,-9.265831675,-3.086826877,-5.687586098,-31.25731107,-4.326233933,-5.556409385,-12.2805579,-1.669223631,-8.748431604,-6.183890153,-16.04234414,-2.638102324,-8.932098921,-6.698013833,-18.01732141,-5.127199182,-12.15524173,-8.172706259,-10.60903553,-9.404883862,-10.25027701
2004,-7.272876867,-2.282731191,-4.392153777,-25.01887254,-4.488409385,-3.790719789,-9.806161272,-0.822985581,-8.845121788,-4.064262532,-16.36193716,-2.765589716,-7.530438351,-4.449792467,-16.3101682,-4.623567646,-7.031522824,-4.693700406,-8.804302748,-7.896126358,-5.219074926
2005,-7.748612532,-2.315439549,-6.228218219,-24.5262616,-3.736533667,-3.389455228,-10.51327117,-0.897800475,-7.315619427,-4.84098186,-15.53222679,-1.481051465,-7.69971749,-4.06092855,-15.0395992,-4.112358852,-9.281275109,-3.522717847,-8.811609817,-11.19106531,-4.841414063
2006,-6.529201293,-0.955363269,-7.645689941,-19.52859292,-2.317075052,-1.922996699,-9.097657567,-0.306106946,-13.28764481,-2.889345229,-17.07567253,-0.406977687,-6.861850742,-2.980576962,-9.040382458,-2.839349677,-7.65663986,-1.548606506,-0.621050186,-12.26999519,-4.899547359
2007,-7.386610546,-1.282491867,-8.229859391,-22.22003169,-1.633407183,-1.828477025,-10.09094947,-1.080752616,-14.17779837,-2.523127364,-20.07671632,-0.051622276,-7.02145301,-1.740478052,-3.470389834,-2.905605431,-11.70139231,-1.949406358,-1.385899611,-14.6853514,-5.087726263
2008,-7.629755731,-1.544614497,-8.528264566,-22.32594998,-1.502480106,-1.477519765,-10.24543732,-1.717337727,-14.52778359,-1.847854232,-26.82759835,0,-7.945473348,-1.618482306,-5.009229335,-2.585503581,-9.868351637,-2.573956668,-1.912677192,-12.05058215,-5.582002476
2009,-7.998686839,-2.538769176,-5.804535321,-25.90769219,-2.702748059,-4.640194929,-9.994631938,-3.316028882,-10.99001188,-2.897579556,-25.586584,-1.188996161,-8.201809174,-1.95948075,-9.075871025,-2.498515957,-10.31909641,-6.503465389,-1.840530187,-11.00593405,-6.155483577
2010,-7.482383836,-2.056319603,-5.476653962,-25.00517045,-2.080407262,-3.91439164,-9.639322396,-2.381091364,-7.979700762,-2.491094842,-21.08093803,-0.74318035,-7.094716735,-1.298093872,-6.679076477,-2.106254044,-12.1962804,-9.053786002,-1.385498066,-10.32684043,-8.596776707
2011,-7.483913131,-2.837538086,-4.160845023,-25.01605731,-2.631973018,-4.36844237,-9.735451868,-1.979731221,-11.0544823,-4.150013999,-18.6484319,-0.615432171,-7.008858313,-2.488711486,-4.140788894,-2.981535467,-9.574234505,-9.77210266,-9.603379193,-8.769195993,-7.211621129
2012,-5.912147238,-1.776020215,-3.332635136,-20.92298227,-1.71259399,-3.573312643,-8.076833882,-0.463402085,-8.454493927,-1.657857511,-20.24922764,0,-5.434261606,-0.837081151,-1.350190418,-3.394637949,-7.553839491,-8.489254506,-8.767689373,-7.340668636,-5.31667132
2013,-6.046129857,-1.68860528,-3.714384594,-21.25311352,-1.498749195,-3.194594874,-8.367722389,-0.265554736,-6.862985113,-1.232848476,-22.24154771,-0.041580941,-5.881193728,-0.558387496,-2.100541578,-3.574523988,-7.585710566,-6.72879983,-8.710694365,-6.351830606,-6.416933379
2014,-5.079245755,-1.767254001,-3.207174737,-16.79459736,-0.910334197,-3.222192676,-7.031889345,-0.156793343,-1.824374015,-0.505269583,-20.43960006,-0.33445813,-4.821239636,-0.306558577,-2.215866437,-1.697003726,-6.76216246,-3.942352714,-8.752199251,-5.950626217,-9.968494288
2015,-4.838233828,-1.796890617,-3.361329771,-15.21501324,-1.093786134,-3.178402999,-6.672953714,-0.182095147,-0.253962878,-0.951304781,-14.31550642,-0.335381354,-4.578059571,-0.304668082,-1.798194673,-2.455086978,-6.683588946,-1.6747272,-8.910245514,-6.593914906,-9.965831896
2016,-5.230371884,-2.125837828,-3.809921533,-15.68558742,-1.793533076,-3.865455674,-7.113345561,-0.355147664,-0.953273185,-1.293674739,-11.46807674,-0.483075394,-4.452932976,-5.015897985,-6.004822614,-4.779546733,-7.025817115,-5.664906124,-9.116877303,-8.343183221,-13.06420301
2017,-6.286705362,-1.824488063,-4.441775921,-21.00457675,-1.274429062,-3.06363179,-8.682122018,-0.400904178,-4.790681957,-1.344655624,-10.77769061,-0.201988986,-5.952523561,-4.58952,-4.828209441,-3.45145267,-7.534523798,-7.093974548,-9.26672867,-8.628781149,-9.931998842
2018,-6.517659069,-1.655264697,-4.816398829,-22.06885932,-1.954299225,-4.068030694,-8.713914158,-1.031255566,-11.32551236,-3.319868757,-14.66238019,-0.863140457,-6.18096577,-7.094695169,-7.990087759,-2.885310778,-7.639325457,-10.04083102,-1.610387273,-9.165028305,-19.22083777
